Carrera,Área académica,Duración,Modalidad,Descripción breve,Campo laboral,Perfil del estudiante,Costo mensual,Costo inscripción,Campus,RVOE,Autoridad RVOE,Palabras clave,Resumen IA,CTA asesoría,Becas de Excelencia
Derecho,Derecho,4 años,Presencial,"Formación teórica, práctica y ética en todas las ramas del derecho","Abogado litigante, asesor jurídico, juez, magistrado, ministerio público","Interés en leyes y justicia, análisis crítico","$4,650","$8,000",Campus Central,1275,SEP Estatal,"derecho, leyes, abogado, jurídico, justicia, legal, juez, litigio, penal, civil, laboral, fiscal","Licenciatura enfocada en formación jurídica con 70% práctica para ejercer como abogado, asesor legal o funcionario público en el sistema judicial.",¿Te gustaría agendar una asesoría personalizada con un coordinador académico para conocer más sobre esta carrera? Puedo conectarte ahora mismo.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Derecho Online,Derecho,3 años,En línea,Formación jurídica 100% en línea con mismo título que presencial,"Abogado litigante, asesor jurídico, juez, magistrado, ministerio público","Trabaja entre semana, busca flexibilidad","$1,980","$3,600",Virtual,20251419,SEP Federal,"derecho online, leyes en línea, abogado virtual, derecho a distancia, estudiar derecho trabajando","Licenciatura en Derecho 100% en línea con clases en vivo martes y jueves. Mismo título que presencial, ideal para quienes trabajan.",¿Te gustaría agendar una asesoría virtual con un coordinador académico? Te explicamos cómo funcionan las clases en línea y resolvemos todas tus dudas.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Psicología,Salud,4 años + S.S.,Presencial,"Estudio del comportamiento humano, neurociencias y enfoques terapéuticos","Psicólogo clínico, organizacional, educativo, RRHH, consultorios",Interés en salud mental y bienestar emocional,"$4,650","$8,000",Campus Central,994 Estatal / 20251033 Federal,SEP Estatal y Federal,"psicología, psicólogo, mente, emociones, terapia, salud mental, comportamiento, neuropsicología, clínica","Licenciatura que forma psicólogos con enfoque clínico, organizacional y educativo. Incluye proceso terapéutico personal obligatorio y prácticas con idioma maya.",¿Te gustaría conocer nuestra Sala Gesell y el programa de idioma maya? Un coordinador puede mostrarte las instalaciones y resolver tus dudas.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Enfermería,Salud,4 años + S.S.,Presencial,"Cuidado integral del individuo, familia y comunidad","Hospitales IMSS, ISSSTE, SSY, clínicas privadas, promoción salud",Interés en salud y cuidado de personas,"$4,650","$8,000",Campus Central,2048 Estatal / 20250816 Federal,SEP Estatal y Federal,"enfermería, enfermera, enfermero, cuidados, salud, hospital, pacientes, nanda, nic-noc, medicina","Licenciatura en cuidado integral de salud con metodología NANDA NIC-NOC. Prácticas desde 2do semestre en IMSS, ISSSTE y Hospital O'Horán.",¿Te gustaría conocer nuestro laboratorio de enfermería completamente equipado? Un coordinador puede mostrarte el equipo médico y los convenios con hospitales.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Nutrición,Salud,4 años + S.S.,Presencial,Evaluación nutricional y diseño de planes de alimentación,"Hospitales, consultorios, DIF, equipos deportivos, industria alimentaria","Interés en salud, alimentación y bienestar","$4,650","$8,000",Campus Central,1155,SEP Estatal,"nutrición, nutriólogo, nutricionista, alimentación, dieta, salud, obesidad, diabetes, deporte","Licenciatura para evaluar estado nutricional y diseñar planes de alimentación personalizados en ámbito clínico, deportivo y comunitario.",¿Te gustaría agendar una asesoría personalizada con un coordinador académico para conocer más sobre esta carrera? Puedo conectarte ahora mismo.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Ingeniería en Sistemas Computacionales,Tecnología,3 años 8 meses,Presencial,"Desarrollo de software, IA, ciberseguridad y redes","Desarrollador software, ingeniero ciberseguridad, analista datos, cloud",Interés en programación y tecnología,"$4,650","$8,000",Campus Central,143,SEP Estatal,"sistemas, programación, informática, tecnología, software, programador, desarrollador, java, ciberseguridad, inteligencia artificial","Ingeniería enfocada en desarrollo de software, IA y ciberseguridad. Desarrollas 12 proyectos reales y participas en NASA Space Apps Challenge.",¿Te gustaría conocer los laboratorios de cómputo y robótica? Un coordinador puede mostrarte los proyectos que desarrollan los estudiantes.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Administración Sabatina,Negocios,3 años,Sabatina,Gestión organizacional y desarrollo empresarial - Solo sábados,"Gerente administrativo, director operaciones, analista financiero","Trabaja entre semana, busca superación académica","$3,960","$3,600",Campus Central,20121885,SEP Federal,"administración, gerente, negocios, empresas, finanzas, sabatino, sábados, trabajando, administrador",Licenciatura en gestión empresarial solo sábados 8-13 hrs. Ideal para quienes trabajan entre semana y buscan un título universitario.,¿Te gustaría conocer cómo funciona la modalidad sabatina? Un coordinador puede explicarte los horarios y cómo combinar trabajo y estudio.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Administración y Desarrollo Empresarial Online,Negocios,3 años,En línea,"Gestión de organizaciones, finanzas y marco legal empresarial","Administrador empresas, gerente, analista, consultor, emprendedor","Trabaja, busca flexibilidad y emprendimiento","$1,980","$3,600",Virtual,20253750,SEP Federal,"administración online, negocios en línea, gestión empresarial virtual, emprendimiento, finanzas","Licenciatura 100% en línea en gestión empresarial, finanzas y emprendimiento. Formación práctica orientada a crear y dirigir empresas.",¿Te gustaría una demo de la plataforma Moodle y conocer cómo son las clases en vivo? Un coordinador puede mostrarte el sistema.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Ventas y Mercadotecnia,Negocios,3 años 4 meses,Presencial,"Estrategias comerciales, marketing digital y administración de marca","Ejecutivo ventas, coordinador marketing, brand manager, publicidad","Creatividad, orientación a resultados, ventas","$4,650","$8,000",Campus Central,1828,SEP Estatal,"mercadotecnia, marketing, ventas, publicidad, marca, redes sociales, comercial, digital","Licenciatura en estrategias de ventas, marketing digital y administración de marca. Formación creativa orientada a resultados comerciales.",¿Te gustaría agendar una asesoría personalizada con un coordinador académico para conocer más sobre esta carrera? Puedo conectarte ahora mismo.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Ventas y Mercadotecnia Online,Negocios,3 años,En línea,"Marketing digital, big data y ventas online/offline","Asesor comercial, analista marketing, campañas publicitarias","Trabaja, interés en marketing digital y ventas","$1,980","$3,600",Virtual,20251420,SEP Federal,"marketing online, ventas en línea, mercadotecnia digital, redes sociales, ecommerce, publicidad digital","Licenciatura 100% en línea en marketing digital, big data y ventas. Ideal para trabajar mientras estudias estrategias de comercio digital.",¿Te gustaría ver ejemplos de proyectos de marketing digital que desarrollan nuestros estudiantes? Un coordinador puede mostrarte casos reales.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Negocios Internacionales,Negocios,3 años 4 meses,Presencial,"Comercio exterior, logística y cadena de suministro internacional","Ejecutivo comercio exterior, agencias aduanales, logística internacional",Interés en comercio internacional e idiomas,"$4,650","$8,000",Campus Central,809,SEP Estatal,"negocios internacionales, comercio exterior, exportación, importación, aduanas, logística, internacional","Licenciatura en comercio exterior y logística internacional. Formación trilingüe (inglés, francés, chino mandarín) para operar en mercados globales.",¿Te gustaría conocer más sobre la formación trilingüe y las oportunidades en comercio exterior? Un coordinador puede darte más detalles.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
Gastronomía,Gastronomía,4 años,Presencial,"Técnicas culinarias, enología, mixología y gestión gastronómica","Chef ejecutivo, gerente A&B, sommelier, consultor, hoteles, restaurantes",Creatividad culinaria y pasión por cocina,"$4,650","$8,000",Campus Central,1507,SEP,"gastronomía, cocina, chef, culinaria, alimentos, restaurante, repostería, panadería, sommelier",Licenciatura en artes culinarias con intercambios a 7 países. Prácticas en hoteles 5 estrellas y restaurantes premium desde primer semestre.,¿Te gustaría conocer las cocinas profesionales y saber más sobre los intercambios internacionales? Un coordinador puede mostrarte las instalaciones.,9.60-10.00: 50% beca | 9.00-9.59: 40% beca | 8.50-8.99: 30% beca | 7.00-8.49: 50% desc. inscripción
